
吴澄,清华大学,自动化系,清华大学国家CIMS工程技术研究中心主任。通信地址：清华大学自动化系CIMS中心 邮政编码：100084。1962 年毕业于清华大学电机工程系，主修工业自动化。1966 年研究生毕业于清华大学。1995年－至今 中国工程院院士。2002年－至今 国家科技进步奖评审委员会委员。教育部高等学校自动化专业教学指导分委员会主任。1995年－至今 中国自动化学会常务理事。浙江大学、华中科技大学等国内多所重点大学兼职教授。1995年－2002 中国工程院信息电子学部副主任。1997年－2001 国家 863 计划自动化领域首席科学家。1987年－1997 国家 863 计划自动化领域专家委员会委员。国家自然科学基金委信息学部自动化学科评审组组长。国家教委科技进步一等奖 1994。教育部科技进步二等奖 1999。光华科技基金一等奖 1995。国家科委863计划一等奖 1991 1996 2001。2003-2006 国家自然科学基金项目 复杂制造系统中大规模模糊优化问题理论与方法研究。12. 蚁龙，刘连臣，何玲娟，吴澄，协商支持系统综述与展望 , 计算机集成制造系统 , 2007 年 12 月。31. 金锋，宋士吉，吴澄 , 基于大规模 FSP 问题 Block 性质的 SA 算法 , 系统工程与电子技术 , 2007Vol.29, 49-52。32. 金锋，宋士吉，吴澄 , 一类基于 FSP 问题 Block 性质的快速 TS 算法 , 控制与决策 , 2007 ， Vol.22,247-25。40. 周华（博士后） 刘民 吴澄, 基于遗传算 法和代理的集成调度系统框架 , 计算机集成制造系统-CIMS , 11(10), 1414-1418, 1443, 2005。50. 孙跃鹏 （博士生） 刘民 , 吴澄，面向色织生产过程的整经轴数智能预测算法 , 控制工程 , 12(6):523-526, 2005。82. 刘民 , 孙元凯 , 吴澄 . TS+BS 混合算法及在 Job Shop 调度问题上的应用 , 清华大学学报 ,2002,42(3):424 ～ 426。89. 程朋，崔德光，吴澄 . 一种基于优化的空中交通短期流量管理模型 . 清华大学学报 .2001,41(4,5),163-166。103. 孙元凯，刘民，吴澄 . 调度问题及其解空间的特征分析 . 电子学报 .2001 ， 29 （ 8 ）， 1042~1045。114. 俞新贞 , 吴澄 . 离散事件系统的稳定性 . 控制与决策 .2001 .01。115. 俞新贞 , 吴澄 . 混合动态系统的稳定性 . 控制与决策 .2001 .03。155. 韩坚，吴澄，范玉顺 . 支持企业动态联盟的信息基础结构，清华大学学报 , Vol. 38, No.10,1998, pp. 61 － 64。156. 熊锐，吴澄，制造业车间生产调度问题的技术现状与发展趋势，清华大学 学报 , Vol. 38, No.10,1998, pp. 59 － 62。157. 刘民，吴澄，蒋新松 . 用遗传算法解决并行多机调度问题 . 系统工程理论 与实践， 1998 ， 18(1) ： 14~17。158. 刘民，吴澄，蒋新松 . 进化规划方法在并行多机调度问题中的应用 . 清华 大学学报， 1998 ， 38(8) ： 100~ 103。160. 王然，吴澄 . 智能规则在半导体生产线调度中的应用 . 计算机集成制造系统 , P33-35, 1997, 8.。166. 范玉顺，吴澄，应用集成平台总体设计技术和集成机制研究，清华大学学 报， Vol. 37, No.7,1997, pp.117-120。169. 范玉顺 , 吴澄 , 石伟 . CIMS 应用集成平台技术发展现状与趋势 , 计算机集成 制造系统 CIMS,Vol.3, No.5, 1997, pp.3-8。176. 杨盛 , 吴澄 . Approximate Solution to the Scheduling of Flexible Transfer Lines, 清华大学学报（英文版）， Vol. 1, No. 2, 1996, 6.。177. 金尊和 , 吴澄 . Analytical Results of Server Loads and Network Load in a General C/S System, 清华大学学报（英文版）， Vol. 1, No. 2, 1996, 6。
宋士吉,清华大学,自动化系,2006年12月-至今 清华大学自动化系教授。2007年5月至今 中国大洋协会信息化领域责任专家。2011年1月至今 《自动化学报》编委。[1] 深海可控式可视采样器关键技术研究与样机研制 国家自然科学基金重大科研仪器研制项目，41427806， 2015.01—2019.12，负责人。[2] 随机多级库存成本管理的风险建模与优化方法及其应用 国家自然科学基金，61273233， 2013.01—2016.12，负责人。[3] 基于数据驱动的风力发电机状态监控与故障诊断技术研究，教育部高等学校博士点基金，20130002130010，2014.01—2016.12，负责人。[4] 无中间存储的流水线调度问题的结构性质及智能优化算法研究，教育部高等学校博士点基金，20120002110035，2013.01—2015.12，负责人。[6] 国际海域资源调查数据三维可视化技术及其应用验证，国家海洋局大洋专项，DY125-25-02，2011.06—2015.12，负责人。[7] 大洋综合资源调查船与载人潜水器支撑母船的信息化技术及其实现方案，国家海洋局大洋专项，DYXY-125，2011.01—2015.12，负责人。[8] 国际海底区域资源研究与开发项目预算绩效评价体系研究与管理信息系统建设，国家海洋局大洋专项，DYXY-125，2013.07—2015.12，负责人。2007年“复杂不确定环境下的软计算技术及其应用”获教育部高等学校自然类二等奖。2006年“复杂动态系统及非线性系统的分析与鲁棒控制”获江苏省科学技术（自然类）一等奖。
刘民,清华大学,自动化系,清华大学复杂工业过程控制与优化研究中心主任。清华信息科学与技术国家实验室自动化研究部副主任。通信地址：清华大学自动化系 邮政编码：100084。IEEE机器人与自动化学会半导体制造自动化技术委员会委员。中国自动化学会理事。中国自动化学会名词工作委员会主任。中国人工智能学会常务理事。中国人工智能学会智能优化专业委员会主任。《Chinese Journal of Electronics》、《控制与决策》、《信息与控制》、《控制工程》、《智能系统学报》和《中国科技术语》等国内学术刊物编委。1.智能制造：主要涉及复杂生产过程智能计划与调度、复杂生产过程智能操作优化/优化控制、智能化工厂。中国工程院重点咨询研究项目课题“城市发展和运行的智能建模与优化决策方法研究”，课题负责人。国家自然科学基金重点项目“复杂芯片制造过程实时调度与优化控制理论和算法研究及应用”，项目负责人。出版受“国防科技图书出版基金”资助的专著《制造过程智能优化调度算法及其应用》（国防工业出版社出版）。
张和明,清华大学,自动化系,1995 年 12 月毕业于浙江大学，获工学博士学位。2011年12月-至今 清华大学自动化系，教授。[1]面向协同仿真的复杂产品多学科耦合建模与计算方法研究，国家自然科学基金项目，负责人，2014-2017。[4]面向云仿真的应用服务性能建模及优化方法研究，北京仿真中心合作课题，负责人，2014-2015。[7]多学科CAE异构系统的协同理论与技术方法研究，国家自然科学基金项目，负责人，2011-2013。[12]云仿真平台资源计收费管理系统的研究与开发，北京仿真中心合作课题，负责人，2010-2011。[14]多学科模型算法体系研究开发，北京仿真中心合作课题，负责人，2009-2010。[17]宏华公司产品数字化开发平台总体设计，横向项目，负责人，2007。[19]复杂产品多学科协同设计与仿真融合的理论方法研究，国家自然科学基金项目，负责人，2007-2009。[20]江南机器（集团）信息化规划与计算机辅助工艺信息系统总体设计，横向合作，技术负责人，2005-2006。[21]虚拟样机环境下复杂产品多领域协同建模方法研究，国家自然科学基金项目，负责人，2003-2005。[23]中欧网络化制造企业系统集成技术，科技部合作司项目，负责人，2001-2003。[25]航天科工集团“航天CIMS工程”虚拟样机分系统总体设计，横向合作，负责人，2001。[1]面向协同仿真的复杂产品多学科耦合建模与计算方法研究，国家自然科学基金项目，负责人，2014-2017。[4]面向云仿真的应用服务性能建模及优化方法研究，北京仿真中心合作课题，负责人，2014-2015。[7]多学科CAE异构系统的协同理论与技术方法研究，国家自然科学基金项目，负责人，2011-2013。[12]云仿真平台资源计收费管理系统的研究与开发，北京仿真中心合作课题，负责人，2010-2011。[14]多学科模型算法体系研究开发，北京仿真中心合作课题，负责人，2009-2010。[17]宏华公司产品数字化开发平台总体设计，横向项目，负责人，2007。[19]复杂产品多学科协同设计与仿真融合的理论方法研究，国家自然科学基金项目，负责人，2007-2009。[20]江南机器（集团）信息化规划与计算机辅助工艺信息系统总体设计，横向合作，技术负责人，2005-2006。[21]虚拟样机环境下复杂产品多领域协同建模方法研究，国家自然科学基金项目，负责人，2003-2005。[23]中欧网络化制造企业系统集成技术，科技部合作司项目，负责人，2001-2003。[25]航天科工集团“航天CIMS工程”虚拟样机分系统总体设计，横向合作，负责人，2001。2006年 复杂产品虚拟样机关键技术、协同仿真平台及其工程应用，教育部科技进步二等奖（第一完成人）。2006年 复杂产品协同仿真平台及其应用，中国电子学会科技进步二等奖（第一完成人）。[1]张和明，熊光楞．制造企业的产品生命周期管理．清华大学出版社，2006年。
范玉顺,清华大学,自动化系,2006年10月-至今 清华大学自动化系系统集成研究所担任所长。[6]基于开放网络的交互式工程门户系统的研究与开发　欧洲联盟和中国国家科技部共同支持的重大合作项目　　2001年9月至今。2002年 获得国务院颁发的 国家有突出贡献的中青年专家政府津贴。[1]肖田元，范玉顺,面向负荷的生产控制,清华大学出版社,1999。[2]范玉顺，曹军威,复杂系统的面向对象建模、分析与设计,清华大学出版社、施普林格出版社,2000。[6]范玉顺，曹军威,多代理系统理论、方法与应用,清华大学出版社/Springer,2002。
刘义,清华大学,自动化系,1994年12月-至今 清华大学自动化系系统集成研究所 副研究员。2001年 获得清华大学颁发的 清华大学应用效益显著奖。1998年 获得清华大学颁发的 清华之友――优秀青年奖励基金一等奖。1997年 获得清华大学颁发的 清华大学“企九”奖。1995年 获得国家教委颁发的 科技进步奖三等奖。1995年 获得清华大学颁发的 清华之友――优秀青年奖励基金二等奖。[1]柴跃廷、刘义. 《敏捷供需链管理》. 清华大学出版社，2001。[6]任常锐，柴跃廷，刘义. 供需链仿真技术的发展现状与趋势. 《计算机集成制造系统》，2004.2, 10(4): 121~126.。
范文慧,清华大学,自动化系,2012年12月至今 清华大学自动化系 教授。2014年10月至今 中国系统仿真学会副理事长。2011年10月至今 在中国系统仿真学会仿真应用专业委员会主任委员。2011年10月至今 在中国系统仿真学会仿真科普与教育工作委员会副主任委员。2014年10月至今 在中国自动化学会系统仿真专业委员会副主任委员。8.不确定性条件下的多目标设计优化 西门子公司国际合作项目 负责人 2009.10-2010.05。12.网络化制造服务平台集成技术 北京市科委项目 技术负责人 2004.10-2005.12。13.不确定条件下多学科并行协同设计的协调与优化问题研究 国家自然基金 负责人 2004.10-2007.12。16.基于ASP的产品协同设计开发平台关键技术研究 北京市科委项目 技术负责人 2003.10-2005.10。18.京仪控股网络化制造平台技术及应用示范工程 北京市科委 技术负责人 2003.07-2005.10。21.舰艇武器电子系统CAPE环境开发研究 国防科工委 技术负责人 2001.10-2004.10。22.面向敏捷制造的产品族建模理论与方法的研究 国家自然基金 负责人 1999.10-2002.10。2010年 获得清华大学颁发的 清华大学第12届研究生“良师益友”。2010年 获得教育部颁发的 联邦式协同产品开发支撑平台及其应用二等奖（排名第二）。2007年 获得教育部颁发的 复杂产品虚拟样机关键技术，协同仿真平台及其工程应用二等奖（排名第四）。2004年 获得清华大学教务处颁发的 清华大学“班主任工作优秀奖”二等奖。2003年 获得国家CIMS工程技术研究中心颁发的 工作突出奖。2001年 获得北京市科委颁发的 北京市科技进步奖二等奖。2001年 获得清华大学颁发的 “清华之友”教师奖。[13]肖田元 范文慧. 离散事件系统建模与仿真, 电子工业出版社, ,2011。[14]肖田元 范文慧. 系统仿真导论 第2版. 清华大学出版社，2010。
柴跃廷,清华大学,自动化系,通信地址：清华大学中央主楼 607 邮政编码：100084。1991 年 毕业于清华大学自动化系。1991 年自今，在清华大学自动化系工作。2013年自今，任电子商务交易技术国家工程实验室 主任。国家电子商务示范城市创建工作专家咨询委员会专家组组长；。国家标准化管理委员会电子商务标准化工作总体组组长；。科技部现代服务业总体专家组副组长；。获省部级科技进步奖4项，获清华大学教学科研成果奖5项。
王书宁,清华大学,自动化系,1996年7月-至今 清华大学自动化系 教授。1996年7月-至今 清华大学自动化系 博士生导师。1999年 获得清华大学颁发的 清华大学学术新人奖。[1] 精馏过程基于分片线性代理模型的实时优化和控制技术研究与应用，国家自然科学基金面上项目，2010年1月至2012。
赵千川,清华大学,自动化系,委员：第九届中国自动化学会控制理论专业委员会副主任委员。程序委员会委员：WODES04, ICIC 2006, WCICA08,WCICA10。审稿人：Automatica, Journal of DEDS, IEEE TAC,自动化学报,控制理论与应用,清华大学学报,控制与决策等。2003年 获得中国自动化学会控制理论专业委员会颁发的 第九届关肇直论文奖。2004年 入选中国教育部新世纪优秀人才支持计划。
陈曦,清华大学,自动化系,1986年 南开大学 控制理论及应用专业，获得学士学位。1989年 南开大学 控制理论及应用专业，获得硕士学位。2000年 香港中文大学 运筹学专业，获得博士学位。2003年7月-至今 清华大学自动化系智能与网络化系统研究中心，副研究员。1996年，中国航空工业总公司，部级科学技术进步二等奖，奖励项目：Ada软件测试与分析系统（排名第二）2。2000年，香港中文大学 工程学院，优秀博士论文。
