
陈启军,同济大学,控制科学与工程系,1987年毕业于华中科技大学（原华中工学院）自动控制系。1990年获西安交通大学信息与控制工程系硕士学位。1999年获同济大学电气工程系博士学位。
何斌,同济大学,控制科学与工程系,2001.6 浙江大学博士毕业。2001.7-2003.6 浙江大学流体传动及控制国家重点实验室博士后出站。2003.12 进入同济大学控制科学与工程系。2007.6-2007.9 澳大利亚 latrobe 大学学习访问。2009.6-2009.7 英国剑桥大学访问学习. 获得上海市科技进步一等奖一项（排名 7 ）。2006 入选同济大学优秀青年教师。教育部博士点基金（ 20110072110016） 参与项目: 973 课题骨干 (2011CB013800) 863 重点项目（ 2007AA091201 ）等。
林峰,同济大学,控制科学与工程系,1982年毕业于上海交通大学自控系。1988年加拿大多伦多大学博士。2002年起任同济大学电子信息工程学院特聘教授。
王峻,同济大学,控制科学与工程系,2003 年至 2005 年在清华大学自动化系从事博士后研究，后留校任教至 2010 年8月。2013年获得同济大学电子与信息工程学院青年教师教学比赛特等奖。2012/1 ~ 2015/12, 无人驾驶车辆控制方法及系统实现技术, 国家自然科学基金重大研究计划重点支持项目, 主要成员（第二）。2011-2013年同济大学卓越核心课程“控制系统与工程技术”负责人。2014年教育部修购计划“自动化专业卓越工程师培养综合创新实验平台”，负责人。中国自动化学会教育工作委员会委员（2014年至今）。上海市自动化学会理事（2015年至今）。
李莉,同济大学,控制科学与工程系,2003年3月中国科学院沈阳自动化研究所博士毕业。2005年1月同济大学控制科学与工程博士后出站。2007.9- 2008.8美国南加州大学访问学者。2015.8-2016.6美国威斯康星大学麦迪逊分校访问学者。(1) 吴启迪，李莉 ，乔非，于青云，半导体制造系统智能调度，清华大学出版社，2015.4。
王祝萍,同济大学,控制科学与工程系,1994 年于西北工业大学自动控制系电气技术专业获工学学士学位。1997 年于西北工业大学自动控制系电力传动与自动化专业并获工学硕士学位。2002 年至 2006 年于新加坡国立大学电气与计算机工程系任职。2007 年至今，于同济大学电子与信息工程学院控制科学与工程系任职至今。
吴启迪,同济大学,控制科学与工程系,分别于1970年和1981年获清华大学学士和硕士学位，1986年获瑞士联邦苏黎世理工学院博士学位。2003-2008年任国家教育部副部长。
吴江枫,同济大学,控制科学与工程系,1995年获清华大学学士，2002年获美国卡内基梅隆（Carnegie Mellon University）大学博士。2016年起担任同济大学电子与信息工程学院教授。
徐立鸿,同济大学,控制科学与工程系,1991年博士毕业于东南大学自动控制专业并获工学博士学位，1994年破格晋升正教授。1999年入选教育部“高等学校骨干青年教师”计划。2001年任同济大学现代农业科学与工程研究院首任常务副院长（主持工作）。2006-2011年美国密歇根州立大学高级访问研究学者。2009年担任美国计算机学会(ACM)SIGEVO分会 2009 GEC Summit （遗传与进化计算世界峰会）主席。
许维胜,同济大学,控制科学与工程系,1989 年毕业于同济大学电气工程系工业自动化专业，获学士学位。1996 年毕业于同济大学经济与管理学院管理工程专业，获博士学位。获 2006-2008 年度同济大学师德师风十佳教师。
