
张彦华,北京航空航天大学,机械工程及自动化学院,1974-1975年河北省香河县木器厂工作。1982-1984年北京军区空军后勤部工作。1992 至今北京航空航天大学工作。北京焊接学会副理事长。
齐铂金,北京航空航天大学,机械工程及自动化学院,中国机械工程学会焊接学会 理事。中国汽车工程学会电动汽车分会 理事。民盟中央科技委员会 委员。湘潭市人民政府 经济科技顾问。
张玉茹,北京航空航天大学,机械工程及自动化学院,虚拟现实国家重点实验室副主任。987.10-1990.04 北京航空航天大学，讲师。1990.05-1997.06 北京航空航天大学，副教授。1997.07-2003.11 北京航空航天大学，教授，博导，机器人所副所长（-2001 ）。2003.12-2007.12 北京航空航天大学机械工程与自动化学院副院长。2012.07-2012.08 法国里尔大学 Invited Professor。教育部教学指导委员会委员。中国机械工程学会机械传动分会常务委员。中国机械工程学会外事工作委员会委员。IEEE ICRA 国际会议组织委员会委员（ 2015 ）。IEEE IROS 国际会议程序委员会委员 (2005, 2006)。
李晓星,北京航空航天大学,机械工程及自动化学院,1970/09-1982/03 ：武汉钢铁公司，工人、技术员。法国高等工程技术大学客座教授。北京市塑性加工学会委员。中国机械工程 评审专家。法国高等工程技 术 大学 客座教授。
席　平,北京航空航天大学,机械工程及自动化学院,北京市机械工程教学示范中心主任。1996-至今 北京航空航天大学机械工程及自动化学院 教授。1985-1991 北京航空航天大学 副教授。1982-1985 北京航空航天大学 讲师。1978-1980 北京航空航天大学 讲师。中国图学学会常务理事。
王田苗,北京航空航天大学,机械工程及自动化学院,北京航空航天大学学术委员会副主任。
张以都,北京航空航天大学,机械工程及自动化学院,1982年1月～1995年9月：中国矿业大学 矿山机械工程系 助教、讲师。机械工程及自动化学院 副教授。北航-翔博残余应力与变形控制联合实验室主任。曾任北京航空航天大学机械工程及自动化学院副院长。
付永领,北京航空航天大学,机械工程及自动化学院,1995.7-1995.12 ，北京航空航天大学自动化系，副教授。2003.7-2009.9 ，北京航空航天大学自动化学院，教授。2009.9-至今，北京航空航天大学机械工程及自动化学院，教授。北航流体传动与控制技术研发技术中心／工程中心，主任。某舰舵减摇系统备件研制，负责人，海军工程大学委托， 2006.3~2007.1。湖南涟源天目科技有限责任公司委托。河北省水泥包装设备工程技术中心主任 2014-。国际航空科学委员会委员 2007-至今。航空机载设备制造技术研究开发中心客座研究员 2005-至今。中国民航特种设备研发基地学术委员会委员 2005-至今。河北省唐山市科技顾问 2005-至今。
陈五一,北京航空航天大学,机械工程及自动化学院,2009.9-今，北京航空航天大学，机械工程及自动化学院，教授。2003.7-2009.8 ，北京航空航天大学，自动化学院，教授。2003.6-2003.7 ，法国 INSA 大学，机械工程系，教授。2002.6-2003.6 ，美国佛罗里达州立大学工学院，工业工程系，教授。2000.9-2002.5 ，北京航空航天大学，科技处副处长，教授。1998.7-2000.8 ，北京航空航天大学，科技处副处长，教授。1996.12-1998.7 ，北京航空航天大学，科技处副处长，副教授。1995.7-1996.11 ，北京航空航天大学，自动控制系副主任，副教授。国际航空科学委员会（ ICAS ）委员， 2007-至今。国际航空作动系统及元件会议委员会（ R3ASC ）委员， 2010-至今。中国民航特种设备研发基地学术委员会委员， 2005-至今。河北省水泥包装设备工程技术中心主任， 2014-今。河北省唐山市科技顾问， 2005-至今。
乔立红,北京航空航天大学,机械工程及自动化学院,1992/02-1993/02 ：美国国家标准技术研究院（ NIST ），客座研究员。数字化设计与制造北京市重点实验室副主任。中国机械工程学会生产工程分会委员。中国机械工程学会成组技术分会委员。
