url,uni,aca,name
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222102545146166508/20110222102545146166508_.html, 清华大学,自动化系,吴 澄
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222112205887698468/20110222112205887698468_.html, 清华大学,自动化系,范玉顺
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222121300948315214/20110222121300948315214_.html, 清华大学,自动化系,柴跃廷
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222113018767950508/20110222113018767950508_.html, 清华大学,自动化系,宋士吉
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222113624685754304/20110222113624685754304_.html, 清华大学,自动化系,刘 民
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419115315724580284/20110419115315724580284_.html, 清华大学,自动化系,张和明
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419090818868350293/20110419090818868350293_.html, 清华大学,自动化系,范文慧
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419133452783840367/20110419133452783840367_.html, 清华大学,自动化系,刘 义
http://www.au.tsinghua.edu.cn/publish/au/1714/2013/20130409082803439440179/20130409082803439440179_.html, 清华大学,自动化系,张林鍹
http://www.au.tsinghua.edu.cn/publish/au/1714/2013/20130424095457121212732/20130424095457121212732_.html, 清华大学,自动化系,刘连臣
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222130634310712567/20110222130634310712567_.html, 清华大学,自动化系,王书宁
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222131430784534565/20110222131430784534565_.html, 清华大学,自动化系,张 毅
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110413154632996313801/20110413154632996313801_.html, 清华大学,自动化系,赵千川
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222132103877405445/20110222132103877405445_.html, 清华大学,自动化系,张 佐
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110423083650105893726/20110423083650105893726_.html, 清华大学,自动化系,姚丹亚
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419144217171815327/20110419144217171815327_.html, 清华大学,自动化系,陈 曦
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110418093205827544073/20110418093205827544073_.html, 清华大学,自动化系,胡坚明
http://www.au.tsinghua.edu.cn/publish/au/1714/2012/20120319101443036169110/20120319101443036169110_.html, 清华大学,自动化系,李 力
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110519095213139860963/20110519095213139860963_.html, 清华大学,自动化系,贾庆山
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20111230132729575445941/20111230132729575445941_.html, 清华大学,自动化系,夏 俐
http://www.au.tsinghua.edu.cn/publish/au/1714/2010/20101201195559195460414/20101201195559195460414_.html, 清华大学,自动化系,周东华
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222134925877325812/20110222134925877325812_.html, 清华大学,自动化系,黄德先
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222133243979384675/20110222133243979384675_.html, 清华大学,自动化系,叶 昊
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110222133635709692932/20110222133635709692932_.html, 清华大学,自动化系,王 凌
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20110419134249480621255/20110419134249480621255_.html, 清华大学,自动化系,熊智华
http://www.au.tsinghua.edu.cn/publish/au/1714/2012/20120321134714720971924/20120321134714720971924_.html, 清华大学,自动化系,陈茂银
http://www.au.tsinghua.edu.cn/publish/au/1714/2011/20111227145213764677467/20111227145213764677467_.html, 清华大学,自动化系,何 潇
