Name,url
肖登明,http://eei.sjtu.edu.cn/Show.aspx?info_id=356&info_lb=571&flag=490
王志新,http://eei.sjtu.edu.cn/show.aspx?info_id=338&info_lb=545&flag=538
饶芳权,http://www.sjtu.edu.cn/info/1599/28045.htm
王昕,http://www.lib.sjtu.edu.cn/index.php?m=content&c=index&a=show&catid=230&id=175
孙才新,http://istd.sjtu.edu.cn/Cn/show.aspx?info_lb=2&info_id=16&flag=2
李格,http://www.seiee.sjtu.edu.cn/tw/info/5689.htm
陈清泉,http://www.auto.sjtu.edu.cn/a/xueshuhuodong/2010/0630/115.html
邹介棠,http://me.sjtu.edu.cn/XiaoYou_ml/showMore.aspx?cid=1&id=33&mid=74
雷清泉,http://www1.hrbust.edu.cn/xueyuan/ele/10ele/Show.asp?ArticleID=219
卓斌,http://www.engine.sjtu.edu.cn/index.html
江秀臣,http://www.sjtu.edu.cn/info/1773/56968.htm
王如竹,http://www.sjtuirc.sjtu.edu.cn/Person1/wangrz.htm
周远,http://www.sjtu.edu.cn/info/1267/11619.htm
臧述升,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=1&id=108
翁史烈,http://www.sjtu.edu.cn/info/1653/28200.htm
汪荣顺,http://www.sjtuirc.sjtu.edu.cn/Person1/wangrs.htm
吴静怡,http://www.sjtuirc.sjtu.edu.cn/Person1/wujy.htm
翁一武,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=4&id=107
徐烈,http://me.sjtu.edu.cn/News/showDetail.aspx?tid=2117
徐旭常,http://tee.sjtu.edu.cn/institute.asp
王文,http://www.sjtuirc.sjtu.edu.cn/cn/faculties_ww.html
张亮,http://www.emba.sjtu.edu.cn/alumni/student/5427.html
章明川,http://scce.sjtu.edu.cn/jiaoshi.php?aid=968&c=3
张鹏,http://www.physics.sjtu.edu.cn/node/813
傅正财,http://eei.sjtu.edu.cn/Show.aspx?info_id=355&info_lb=544&flag=490
徐建中,http://energy.sjtu.edu.cn/expert.htm
杨林,http://gse.sjtu.edu.cn/alumni/members/429.htm
杜朝辉,http://www.sjtu.edu.cn/info/1708/31584.htm
丁国良,http://www.sjtuirc.sjtu.edu.cn/Person1/dinggl.htm
谷传纲,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=4&id=197
谷波,http://www.sjtuirc.sjtu.edu.cn/cn/faculties1_2.html
黄建德,http://www.sjtu.edu.cn/info/1021/1028.htm
黄其励,http://www.meng.edu.cn/publish/gcss/409/index.html
郭开华,http://me.sjtu.edu.cn/XiaoYou_ml/showMore.aspx?cid=1&id=32&mid=72
巨永林,http://tzb.sjtu.edu.cn/info/1093/1601.htm
黄震,http://www.sjtu.edu.cn/info/1021/1028.htm
晋欣桥,http://www.sjtuirc.sjtu.edu.cn/cn/cultivation2.html
罗永浩,http://iet.sjtu.edu.cn/en/ShowShizi.asp?id=72
李云飞,http://www.agri.sjtu.edu.cn/Data/View/2277
顾建明,http://www.sjtuirc.sjtu.edu.cn/Person1/newpage14.htm
姜秀民,http://me.sjtu.edu.cn/News/showDetail.aspx?tid=1180
刘震炎,http://www.sjtu.edu.cn/info/1267/10910.htm
连之伟,http://www.sjtuirc.sjtu.edu.cn/Person1/lianzhw.htm
苏明,http://www.sjtu.edu.cn/info/1017/1017.htm
乔信起,http://me.sjtu.edu.cn/english/minglu/showDetail.aspx?id=68
张同,http://www.sjtu.edu.cn/
张卫刚,http://trc.sjtu.edu.cn/teachers/zhangweigang.html
赵玫,http://me.sjtu.edu.cn/bkjx/jiaoxuejiaoxue/showDetail.aspx?cid=2&nzid=9
赵言正,
朱利民,http://www.sjtu.edu.cn/info/2001/65975.htm
朱平,http://www.sjtu.edu.cn/info/1712/31635.htm
朱向阳,http://www.sjtu.edu.cn/info/1143/1790.htm
奚立峰,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=1&id=91
曹兆敏,http://tzjt.sjtu.edu.cn/web/jdcy/3680010-3680000000424.htm?Page=1
陈汉平,http://me.sjtu.edu.cn/sz_minglu/showDetail.aspx?cid=1&id=409
朱昌明,http://me.sjtu.edu.cn/sz_gc/showDetail.aspx?cid=10&id=406
